subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"11350005","11350.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","4.99","11.6","83"," ","L.F.Chase Jr,R.G.Johnson,R.V.Smith,F.J.Vaughn,M.Walt","1961","Report other than progress report: AFSWC-TR-61-15  (1961)"
"11350007","11350.x4","N-0","N,EL","DA","Legendre coefficients Differential c/s with respect to angle for natN(n,Elastic)natN","4.99","11.6","54"," ","L.F.Chase Jr,R.G.Johnson,R.V.Smith,F.J.Vaughn,M.Walt","1961","Report other than progress report: AFSWC-TR-61-15  (1961)"
"11354004","11354.x4","N-0","N,NON","CS","Cross section for natN(n,Nonelastic)","15.3","15.3","1"," ","L.F.Hansen,J.D.Anderson,M.L.Stelts,C.Wong","1968","Nuclear Cross-Sections Techn. Conf.,Washington 1968 1,225(B-13) (1968)"
"11357002","11357.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","3.07","7.11","65"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,A.R.Sattar","1957","Report other than progress report: WADC-TR-57-446  (1957)"
"11357003","11357.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","3.07","15.83","117"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,A.R.Sattar","1957","Report other than progress report: WADC-TR-57-446  (1957)"
"11357004","11357.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","4.3","4.3","14"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,A.R.Sattar","1957","Report other than progress report: WADC-TR-57-446  (1957)"
"11357005","11357.x4","N-0","N,EL","CS","Cross section for natN(n,Elastic)natN","3.07","15.83","10"," ","N.A.Bostrom,I.L.Morgan,J.T.Prud'Homme,A.R.Sattar","1957","Report other than progress report: WADC-TR-57-446  (1957)"
"12593015","12593.x4","N-0","N,EL","CS","Cross section for natN(n,Elastic)natN","1.5","1.5","1"," ","E.Fermi,L.Marshall","1947","Physical Review 71,666 (1947)"
"12634008","12634.x4","N-0","N,TOT","CS","Maxwellian average Cross section for natN(n,Total)","2.5e-08","2.5e-08","1"," ","J.R.Dunning,G.B.Pegram,G.A.Fink,D.P.Mitchell","1935","Physical Review 48,265 (1935)"
"12641005","12641.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","14.2","14.2","1"," ","D.I.Meyer,W.Nyer","1951","Report other than progress report: LA-1279  (1951)"
"12973003","12973.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","20.0","25.0","67"," ","J.S.Petler,M.S.Islam,R.W.Finlay,F.S.Dietrich","1985","Physical Review,Part C,Nuclear Physics 32,673 (1985)"
"13041006","13041.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.00011999999999999999","0.000345","2"," ","C.T.Hibdon","1950","Physical Review 79,747 (1950)"
"13569004","13569.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","5.29253","599.643","474"," ","R.W.Finlay,W.P.Abfalterer,G.Fink,E.Montei,T.Adami,P.W.Lisowski,G.L.Morgan,R.C.Haight","1993","Physical Review,Part C,Nuclear Physics 47,237 (1993)"
"13728002","13728.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","3.7614000000000003e-07","0.22721000000000002","305"," ","J.A.Harvey,N.W.Hill,N.M.Larson,D.C.Larson,C.O.Beasley,G.M.Hale","1991","Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 ,729 (1991); C,93VAIL,737 (1993)"
"13728003","13728.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.035872","62.092","6563"," ","J.A.Harvey,N.W.Hill,N.M.Larson,D.C.Larson,C.O.Beasley,G.M.Hale","1991","Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 ,729 (1991); C,93VAIL,737 (1993)"
"13728004","13728.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","0.42391300000000004","1.198185","245"," ","J.A.Harvey,N.W.Hill,N.M.Larson,D.C.Larson,C.O.Beasley,G.M.Hale","1991","Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 ,729 (1991); C,93VAIL,737 (1993)"
"13728005","13728.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","0.42392599999999997","1.1987750000000001","332"," ","J.A.Harvey,N.W.Hill,N.M.Larson,D.C.Larson,C.O.Beasley,G.M.Hale","1991","Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 ,729 (1991); C,93VAIL,737 (1993)"
"13728006","13728.x4","N-0","N,EL","DA","Differential c/s with respect to angle for natN(n,Elastic)natN","0.42397500000000005","1.1987560000000002","266"," ","J.A.Harvey,N.W.Hill,N.M.Larson,D.C.Larson,C.O.Beasley,G.M.Hale","1991","Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 ,729 (1991); C,93VAIL,737 (1993)"
"13790004","13790.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","2.44","2.44","1"," ","R.Ladenburg,M.H.Kanner","1937","Physical Review 52,911 (1937)"
"14122002","14122.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.1492","1.461","112"," ","C.H.Johnson,B.Petree,R.K.Adair","1951","Physical Review 84,775 (1951)"
"20662002","20662.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","0.975","5.327","1664"," ","J.Bommer","1976","Report other than progress report: HMI-B-210  (1976); Nuclear Physics,Section A 263,86 (1976)"
"20941002","20941.x4","N-0","N,INL","DA","Partial diff. gamma em. cross section d/dA for natN(n,Inelastic)natN","4.5","8.5","28"," ","J.L.Perkin","1964","Nuclear Physics 60,561 (1964)"
"21042002","21042.x4","N-0","N,TOT","CS","Cross section for natN(n,Total)","1.91","3.81","91"," ","R.Meier,R.Ricamo,P.Scherrer,W.Zuenti","1953","Helvetica Physica Acta 26,451 (1953)"
"21234004","21234.x4","N-0","N,EL","CS","Maxwellian average Cross section for natN(n,Elastic)natN","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","J.Rossel","1947","Helvetica Physica Acta 20,105 (1947)"
"21234005","21234.x4","N-0","N,EL","CS","Maxwellian average Cross section for natN(n,Elastic)natN","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","J.Rossel","1947","Helvetica Physica Acta 20,105 (1947)"
