subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"T0090003","T0090.x4","C-14","P,EL","DA","Differential c/s with respect to angle for 14C(p,Elastic)14C","2.68","3.98","178"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090004","T0090.x4","C-14","P,N","DA","Partial differential cross section d/dA for 14C(p,n)14N","2.62","3.96","172"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090005","T0090.x4","C-14","P,N","DA","Partial differential cross section d/dA for 14C(p,n)14N","2.92","3.42","25"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090006","T0090.x4","C-14","P,N","CS","Partial cross section for 14C(p,n)14N","2.87","3.72","15"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090007","T0090.x4","C-14","P,N","DA","Legendre coefficients Differential c/s with respect to angle for 14C(p,n)14N","2.85","3.72","60"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090008","T0090.x4","C-14","P,G","DA","Relative data Differential c/s with respect to angle for 14C(p,gamma)15N","3.2","3.5","9"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090008","T0090.x4","C-14","P,G","DA","Relative data Differential c/s with respect to angle for 14C(p,gamma)15N","3.2","3.5","9"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090009","T0090.x4","C-14","P,A","DA","Partial differential cross section d/dA for 14C(p,alpha)11B","2.84","4.0","165"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090010","T0090.x4","C-14","P,A","DA","Partial differential cross section d/dA for 14C(p,alpha)11B","2.92","3.42","47"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090011","T0090.x4","C-14","P,A","CS","Partial cross section for 14C(p,alpha)11B","2.9","3.96","14"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
"T0090012","T0090.x4","C-14","P,A","DA","Legendre coefficients Differential c/s with respect to angle for 14C(p,alpha)11B","2.88","3.95","57"," ","J.J.Ramirez,R.A.Blue,H.R.Weller","1972","Physical Review,Part C,Nuclear Physics 5,17 (1972)"
