subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"V0027043","V0027.x4","N-14","N,2N","CS","Cross section for 14N(n,2n)13N","20.0","60.7","12"," ","P.Dimbylow","1980","Physics in Medicine and Biology 25,(4),637 (1980); Private communication: Dimbylow  (1981); 4.Symp.on Neutron Dosimetry,Munich-Neuherberg 1981 ,(III-1) (1981)"
"V0027057","V0027.x4","N-14","N,P","CS","Cross section for 14N(n,p)14C","20.0","60.7","12"," ","P.Dimbylow","1980","Physics in Medicine and Biology 25,(4),637 (1980); Private communication: Dimbylow  (1981); 4.Symp.on Neutron Dosimetry,Munich-Neuherberg 1981 ,(III-1) (1981)"
"V0027062","V0027.x4","N-14","N,D","CS","Cross section for 14N(n,d)13C","20.0","60.7","12"," ","P.Dimbylow","1980","Physics in Medicine and Biology 25,(4),637 (1980); Private communication: Dimbylow  (1981); 4.Symp.on Neutron Dosimetry,Munich-Neuherberg 1981 ,(III-1) (1981)"
"V0027064","V0027.x4","N-14","N,T","CS","Cross section for 14N(n,t)12C","20.0","60.7","12"," ","P.Dimbylow","1980","Physics in Medicine and Biology 25,(4),637 (1980); Private communication: Dimbylow  (1981); 4.Symp.on Neutron Dosimetry,Munich-Neuherberg 1981 ,(III-1) (1981)"
"V0027067","V0027.x4","N-14","N,A","CS","Cross section for 14N(n,alpha)11B","20.0","60.7","12"," ","P.Dimbylow","1980","Physics in Medicine and Biology 25,(4),637 (1980); Private communication: Dimbylow  (1981); 4.Symp.on Neutron Dosimetry,Munich-Neuherberg 1981 ,(III-1) (1981)"
"V0102011","V0102.x4","N-14","N,G","CS","Maxwellian average Cross section for 14N(n,gamma)15N","0.03","0.03","1"," ","Z.Y.Bao,H.Beer,F.Kaeppeler,F.Voss,K.Wisshak,T.Rauscher","2000","Atomic Data and Nuclear Data Tables 76,70 (2000); Report containing conference proc.: EUR-23883 55 (2010); Astrophysical Journal,Supplement 80,403 (1992); Atomic Data and Nuclear Data Tables 36,411 (1987)"
"V0102011","V0102.x4","N-14","N,G","CS","Maxwellian average Cross section for 14N(n,gamma)15N","0.03","0.03","1"," ","Z.Y.Bao,H.Beer,F.Kaeppeler,F.Voss,K.Wisshak,T.Rauscher","2000","Atomic Data and Nuclear Data Tables 76,70 (2000); Report containing conference proc.: EUR-23883 55 (2010); Astrophysical Journal,Supplement 80,403 (1992); Atomic Data and Nuclear Data Tables 36,411 (1987)"
"V1001032","V1001.x4","N-14","N,EL","CS","Cross section for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,EL","CS","Cross section for 14N(n,gamma)15N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,EL","CS","Cross section for 14N(n,p)14C","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,EL","CS","Scattering radius for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Cross section for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Cross section for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Cross section for 14N(n,gamma)15N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Cross section for 14N(n,gamma)15N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Cross section for 14N(n,p)14C","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Cross section for 14N(n,p)14C","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Scattering radius for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,G","CS","Scattering radius for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,P","CS","Cross section for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,P","CS","Cross section for 14N(n,gamma)15N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,P","CS","Cross section for 14N(n,p)14C","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
"V1001032","V1001.x4","N-14","N,P","CS","Scattering radius for 14N(n,Elastic)14N","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","S.F.Mughabghab","2006","B,NEUT.RES (2006)"
