subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"30463007","30463.x4","Na-23","N,INL","DA","Legendre coefficients Differential c/s with respect to angle for 23Na(n,Inelastic)23Na","3.4","3.4","5"," ","Th.Schweitzer,D.Seeliger,S.Unholzer","1978","Private communication: Seeliger  (1978); Kernenergie 20,174 (1977); Report other than progress report: YK-22 15 (1976); Report other than progress report: INDC(CCP)-105 15 (1976); Report other than progress report: TU-05-40-75  (1975); 4.All Union Conf.on Neutron Phys.,Kiev,18-22 Apr 1977 1,231 (1977); Progress report: ZFK-350 2 (1978); Progress report: ZFK-324 39 (1976); Progress report: ZFK-315 11 (1976); Report other than progress report: IAEA-190 (2),243 (1976); Progress report: ZFK-262 33 (1973)"
"30515002","30515.x4","Na-23","N,2N","CS","Cross section for 23Na(n,2n)22Na","15.5","17.9","6"," ","L.Adamski,M.Herman,A.Marcinkowski","1980","Annals of Nuclear Energy 7,(7),397 (1980); Progress report: INR-1809/I/PL/A 9 (1979); Progress report: INDC(POL)-10 9 (1979); Report other than progress report: INDC(NDS)-103 40 (1979)"
"30562010","30562.x4","Na-23","N,A","CS","Cross section for 23Na(n,alpha)20F","14.6","14.6","1"," ","P.N.Ngoc,S.Gueth,F.Deak,A.Kiss","1980","Report containing conference proc.: ZFK-410 192 (1980)"
"30774002","30774.x4","Na-23","N,P","CS","(( Cross section for 23Na(n,p)23Ne )/( Cross section for 26Mg(n,alpha)23Ne ))","14.9","14.9","1"," ","J.Janczyszyn","1982","Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,869 (1982)"
"30774002","30774.x4","Na-23","N,P","CS","Cross section for 26Mg(n,alpha)23Ne","14.9","14.9","1"," ","J.Janczyszyn","1982","Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,869 (1982)"
"30992002","30992.x4","Na-23","N,2N","CS","Cross section for 23Na(n,2n)22Na","13.3","18.5","6"," ","Xu Zhizheng,Pan Limin,Wu Zhihua","1991","Nuclear Science and Techniques (Shanghai). 2,(3),153 (1991); Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 ,666 (1991)"
"31003002","31003.x4","Na-23","N,G","CS","Maxwellian average Cross section for 23Na(n,gamma)24mNa","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","K.F.Alexander,H.F.Brinckmann","1963","Annalen der Physik 12,225 (1963); Physics Letters 4,302 (1963); Report other than progress report: ZFK-RN-23  (1964)"
"31003002","31003.x4","Na-23","N,G","CS","Maxwellian average Cross section for 23Na(n,gamma)24mNa","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","K.F.Alexander,H.F.Brinckmann","1963","Annalen der Physik 12,225 (1963); Physics Letters 4,302 (1963); Report other than progress report: ZFK-RN-23  (1964)"
"31099002","31099.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 55Mn(n,gamma)56Mn )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099002","31099.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 55Mn(n,gamma)56Mn )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099003","31099.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 31P(n,gamma)32P )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099003","31099.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 31P(n,gamma)32P )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099003","31099.x4","Na-23","N,G","CS","Maxwellian average Cross section for 31P(n,gamma)32P","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099003","31099.x4","Na-23","N,G","CS","Maxwellian average Cross section for 31P(n,gamma)32P","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099006","31099.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 127I(n,gamma)128I )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099006","31099.x4","Na-23","N,G","CS","(( Maxwellian average Cross section for 127I(n,gamma)128I )/( Maxwellian average Cross section for 23Na(n,gamma)24Na ))","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099006","31099.x4","Na-23","N,G","CS","Maxwellian average Cross section for 127I(n,gamma)128I","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
"31099006","31099.x4","Na-23","N,G","CS","Maxwellian average Cross section for 127I(n,gamma)128I","2.5299999999999998e-08","2.5299999999999998e-08","1"," ","E.Jozefowicz","1963","Nukleonika 8,437 (1963)"
