subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A0188002","A0188.x4","O-17","A,N","CS","Cross section for 17O(alpha,n)20Ne"," "," ","49"," ","V.A.Vukolov,F.E.Chukreev","1983","Voprocy Atomnoy Nauki i Tekhniki,Seriya Obshch. ,(4/25),31 (1983)"
"C0489003","C0489.x4","O-17","A,N","CS","Cross section for 17O(alpha,n)20Ne","0.92708","5.316","699"," ","J.K.Bair,F.X.Haas","1973","Physical Review,Part C,Nuclear Physics 7,1356 (1973); Progress report: ORNL-4659 38 (1971)"
"C2007002","C2007.x4","O-17","A,N","CS","Relative data Cross section for 17O(alpha,n)20Ne","1.338071","2.317906","291"," ","A.Best,M.Beard,J.Gorres,M.Couder,R.Deboer,S.Falahat,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,M.Pignatari,K.Sonnabend,R.Talwar,W.Tan,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045805 (2013); Report containing conference proc.: AIP-1498 309 (2012)"
"C2007003","C2007.x4","O-17","A,N","CS","Relative data Cross section for 17O(alpha,n)20Ne","0.762758","2.3230500000000003","615"," ","A.Best,M.Beard,J.Gorres,M.Couder,R.Deboer,S.Falahat,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,M.Pignatari,K.Sonnabend,R.Talwar,W.Tan,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045805 (2013); Report containing conference proc.: AIP-1498 309 (2012)"
"C2007004","C2007.x4","O-17","A,N","CS","Relative data Cross section for 17O(alpha,n)20Ne","0.880641","2.323094","509"," ","A.Best,M.Beard,J.Gorres,M.Couder,R.Deboer,S.Falahat,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,M.Pignatari,K.Sonnabend,R.Talwar,W.Tan,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045805 (2013); Report containing conference proc.: AIP-1498 309 (2012)"
"C2007005","C2007.x4","O-17","A,N","CS","S-factor Cross section for 17O(alpha,n)20Ne","0.686","1.881","515"," ","A.Best,M.Beard,J.Gorres,M.Couder,R.Deboer,S.Falahat,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,M.Pignatari,K.Sonnabend,R.Talwar,W.Tan,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045805 (2013); Report containing conference proc.: AIP-1498 309 (2012)"
"C2007006","C2007.x4","O-17","A,N","CS","S-factor Cross section for 17O(alpha,n)20Ne","1.0832","1.8764","294"," ","A.Best,M.Beard,J.Gorres,M.Couder,R.Deboer,S.Falahat,R.T.Guray,A.Kontos,K.-L.Kratz,P.J.Leblanc,Q.Li,S.O'Brien,N.Ozkan,M.Pignatari,K.Sonnabend,R.Talwar,W.Tan,E.Uberseder,M.Wiescher","2013","Physical Review,Part C,Nuclear Physics 87,045805 (2013); Report containing conference proc.: AIP-1498 309 (2012)"
"O2293004","O2293.x4","O-17","A,N","CS","Cross section for 17O(alpha,n)20Ne","0.644","1.983","439"," ","R.Kunz,A.Denker,H.W.Drotleff,M.Grobe,H.Knee,S.Kuechler,R.Seidel,M.Soine,J.W.Hammer","1994","C,94CRETE,38 (1994); Thesis or dissertation: Denker  (1994)"
"P0116002","P0116.x4","O-17","A,N","CS","Cross section for 17O(alpha,n)20Ne","4.7","12.5","8"," ","L.F.Hansen,J.D.Anderson,J.W.Mcclure,B.A.Pohl,M.L.Stelts,J.J.Wesolowski,C.Wong","1967","Nuclear Physics,Section A 98,25 (1967)"
