subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"A0082002","A0082.x4","Li-7","T,P","CS","Relative data Cross section for 7Li(t,p)9Li","5.4264","6.0579","99"," ","S.N.Abramovich,B.Ja.Guzhovskii,A.G.Zvenigorodskii,S.V.Trusillo","1979","Yadernaya Fizika 30,(5),1276 (1979); Soviet Journal of Nuclear Physics 30,665 (1979)"
"A0082004","A0082.x4","Li-7","T,A","CS","Relative data Cross section for 7Li(t,alpha)6He","5.4255","5.9836","83"," ","S.N.Abramovich,B.Ja.Guzhovskii,A.G.Zvenigorodskii,S.V.Trusillo","1979","Yadernaya Fizika 30,(5),1276 (1979); Soviet Journal of Nuclear Physics 30,665 (1979)"
"A0116003","A0116.x4","Li-7","T,EL","DA","Differential c/s with respect to angle for 7Li(t,Elastic)7Li","4.0","10.0","135"," ","B.Ja.Guzhovskij,S.N.Abramovich,B.M.Dzuba,A.G.Zvenigorodskij,S.V.Trusillo,G.N.Slepcov,V.N.Protopopov","1977","Problemy Yadernoj Fiziki i Kosmicheskikh Luchej 7,41 (1977)"
"A0273002","A0273.x4","Li-7","T,D","CS","Cross section for 7Li(t,d)8Li","6.267","10.12","114"," ","S.N.Abramovich,B.Ja.Guzhovskij,S.A.Dunaeva,A.G.Zvenigorodskij,S.V.Trusillo","1983","33.Conf.on Nucl.Spectr.and Nucl.Struct.,Moscow 1983 ,362 (1983); Vop. At.Nauki i Tekhn.,Ser.Yadernye Konstanty ,(2),14 (1985); Report other than progress report: INDC(CCP)-248 14 (1985)"
"A0273003","A0273.x4","Li-7","T,D","CS","Cross section for 7Li(t,d)8Li","6.229","10.12","115"," ","S.N.Abramovich,B.Ja.Guzhovskij,S.A.Dunaeva,A.G.Zvenigorodskij,S.V.Trusillo","1983","33.Conf.on Nucl.Spectr.and Nucl.Struct.,Moscow 1983 ,362 (1983); Vop. At.Nauki i Tekhn.,Ser.Yadernye Konstanty ,(2),14 (1985); Report other than progress report: INDC(CCP)-248 14 (1985)"
"A0273004","A0273.x4","Li-7","T,P","CS","Cross section for 7Li(t,p)9Li","3.558","6.332","130"," ","S.N.Abramovich,B.Ja.Guzhovskij,S.A.Dunaeva,A.G.Zvenigorodskij,S.V.Trusillo","1983","33.Conf.on Nucl.Spectr.and Nucl.Struct.,Moscow 1983 ,362 (1983); Vop. At.Nauki i Tekhn.,Ser.Yadernye Konstanty ,(2),14 (1985); Report other than progress report: INDC(CCP)-248 14 (1985)"
"A0273005","A0273.x4","Li-7","T,P","CS","Cross section for 7Li(t,p)9Li","3.441","10.12","302"," ","S.N.Abramovich,B.Ja.Guzhovskij,S.A.Dunaeva,A.G.Zvenigorodskij,S.V.Trusillo","1983","33.Conf.on Nucl.Spectr.and Nucl.Struct.,Moscow 1983 ,362 (1983); Vop. At.Nauki i Tekhn.,Ser.Yadernye Konstanty ,(2),14 (1985); Report other than progress report: INDC(CCP)-248 14 (1985)"
"A0273006","A0273.x4","Li-7","T,A","CS","Cross section for 7Li(t,alpha)6He","2.912","6.332","196"," ","S.N.Abramovich,B.Ja.Guzhovskij,S.A.Dunaeva,A.G.Zvenigorodskij,S.V.Trusillo","1983","33.Conf.on Nucl.Spectr.and Nucl.Struct.,Moscow 1983 ,362 (1983); Vop. At.Nauki i Tekhn.,Ser.Yadernye Konstanty ,(2),14 (1985); Report other than progress report: INDC(CCP)-248 14 (1985)"
"A0273007","A0273.x4","Li-7","T,A","CS","Cross section for 7Li(t,alpha)6He","2.861","10.12","345"," ","S.N.Abramovich,B.Ja.Guzhovskij,S.A.Dunaeva,A.G.Zvenigorodskij,S.V.Trusillo","1983","33.Conf.on Nucl.Spectr.and Nucl.Struct.,Moscow 1983 ,362 (1983); Vop. At.Nauki i Tekhn.,Ser.Yadernye Konstanty ,(2),14 (1985); Report other than progress report: INDC(CCP)-248 14 (1985)"
"A1234004","A1234.x4","Li-7","T,P","DA","Differential c/s with respect to angle for 7Li(t,p)9Li","23.0","23.0","29"," ","F.Ajzenberg-Selove,E.R.Flynn,O.Hansen","1978","Physical Review,Part C,Nuclear Physics 17,(4),1283 (1978)"
"A1373002","A1373.x4","Li-7","T,N","DA","Differential c/s with respect to angle for 7Li(t,n)9Be","0.1209","0.2992","27"," ","R.Seltz,D.Magnac-Valette","1960","Comptes Rendus,Serie B,Physique 251,(19),2006 (1960)"
"A1428003","A1428.x4","Li-7","T,A","DA","Relative data Differential c/s with respect to angle for 7Li(t,alpha)6He","0.24","0.24","18"," ","E.Almqvist,T.P.Pepper,P.Lorrain","1954","Canadian Journal of Physics 32,(10),621 (1954)"
"A1433002","A1433.x4","Li-7","T,P","DA","Differential c/s with respect to angle for 7Li(t,p)9Li","15.0","15.0","77"," ","P.G.Young,R.H.Stokes","1971","Physical Review,Part C,Nuclear Physics 4,(5),1597 (1971)"
"A1462003","A1462.x4","Li-7","T,N","DA","Differential c/s with respect to angle for 7Li(t,n)9Be","0.173","1.382","48"," ","V.I.Serov,B.Ja.Guzhovskij","1962","Atomnaya Energiya 12,(1),5 (1962); Soviet Atomic Energy 12,1 (1962)"
"A1463004","A1463.x4","Li-7","T,P","CS","Relative data Cross section for 7Li(t,p)9Li","3.282","6.386","57"," ","S.N.Abramovich,B.Ja.Guzhovskij,A.G.Zvenigorodskij,S.V.Trusillo","1973","Izv. Rossiiskoi Akademii Nauk,Ser.Fiz. 37,(9),1967 (1973); Bull.Russian Academy of Sciences - Physics 37,(9),144 (1974)"
"A1501002","A1501.x4","Li-7","T,A","DA","Partial differential cross section d/dA for 7Li(t,alpha)6He","22.0","22.0","28"," ","R.H.Stokes,P.G.Young","1971","Physical Review,Part C,Nuclear Physics 3,(3),984 (1971)"
"A1526002","A1526.x4","Li-7","T,A","DA","Partial differential cross section d/dA for 7Li(t,alpha)6He","1.15","1.95","81"," ","H.D.Holmgren,L.M.Cameron","1961","Rutherford Conf.,Manchester 1961 ,537 (1961)"
"A1541002","A1541.x4","Li-7","T,G","DA","Partial differential cross section d/dA for 7Li(t,gamma)10Be","0.4731","1.095","31"," ","K.M.Subotic,B.Lalovic,B.Z.Stepancic","1978","Nuclear Physics,Section A 296,141 (1978)"
"A1541003","A1541.x4","Li-7","T,G","DA","Partial differential cross section d/dA for 7Li(t,gamma)10Be","0.8","1.1","8"," ","K.M.Subotic,B.Lalovic,B.Z.Stepancic","1978","Nuclear Physics,Section A 296,141 (1978)"
"A1541004","A1541.x4","Li-7","T,G","DA","Partial differential cross section d/dA for 7Li(t,gamma)10Be","0.8","1.1","8"," ","K.M.Subotic,B.Lalovic,B.Z.Stepancic","1978","Nuclear Physics,Section A 296,141 (1978)"
"C0119002","C0119.x4","Li-7","T,N","DA","Partial differential cross section d/dA for 7Li(t,n)9Be","0.164","1.13","16"," ","C.R.Brune,R.W.Kavanagh,S.E.Kellogg,T.R.Wang","1991","Physical Review,Part C,Nuclear Physics 43,875 (1991)"
"C0119003","C0119.x4","Li-7","T,N","CS","Partial cross section for 7Li(t,n)9Be","0.13469","1.24135","20"," ","C.R.Brune,R.W.Kavanagh,S.E.Kellogg,T.R.Wang","1991","Physical Review,Part C,Nuclear Physics 43,875 (1991)"
"C0119004","C0119.x4","Li-7","T,N","CS","Partial cross section for 7Li(t,n)9Be","0.13469","0.47411","6"," ","C.R.Brune,R.W.Kavanagh,S.E.Kellogg,T.R.Wang","1991","Physical Review,Part C,Nuclear Physics 43,875 (1991)"
"C0119005","C0119.x4","Li-7","T,N","CS","S-factor Cross section for 7Li(t,n)9Be","0.13469","1.2414","20"," ","C.R.Brune,R.W.Kavanagh,S.E.Kellogg,T.R.Wang","1991","Physical Review,Part C,Nuclear Physics 43,875 (1991)"
"F0024014","F0024.x4","Li-7","T,D","DA","Partial diff. gamma em. cross section d/dA for 7Li(t,d)8Li","7.95","9.45","3"," ","S.N.Abramovich,B.Ja.Guzhovsky,V.H.Protopopov","1984","Izv.Kaz.Akad.Nauk,Ser.Fiz.-Mat. ,(4),24 (1984)"
"F0033004","F0033.x4","Li-7","T,A","DA","Differential c/s with respect to angle for 7Li(t,alpha)6He","0.0761","0.3977","17"," ","D.M.Ciric,R.V.Popic,R.B.Zakula,B.Z.Stepancic,M.R.Aleksic,J.P.Setrajcic","1976","Review of Science Research 6,115 (1976)"
"F0033006","F0033.x4","Li-7","T,A","CS","Cross section for 7Li(t,alpha)6He","0.0757","0.3966","14"," ","D.M.Ciric,R.V.Popic,R.B.Zakula,B.Z.Stepancic,M.R.Aleksic,J.P.Setrajcic","1976","Review of Science Research 6,115 (1976)"
