subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"20480025","20480.x4","Be-9","N,TOT","CS","Cross section for 9Be(n,Total)","0.178","1.125","12"," ","J.Cabe,M.Cance","1973","Report other than progress report: CEA-R-4524  (1973); Progress report: EANDC(E)-150  (1972); Progress report: EANDC(E)-140  (1971); Nuclear Data for Reactors Conf.,Helsinki 1970 2,31 (1970); Journal de Physique - Colloque 31,C2-217 (1970); Progress report: EANDC(E)-127  (1970); Progress report: EANDC(E)-115  (1969); Progress report: EANDC(E)-89  (1968); Nuclear Physics,Section A 102,92 (1967); Report other than progress report: CEA-R-3279  (1967); Nuclear Physics Colloquium,Bordeaux 1967 1,36 (1967); Journal de Physique 27,755 (1966); Progress report: EANDC(E)-57  (1965); Comptes Rendus,Serie B,Physique 259,4610 (1964); Comptes Rendus,Serie B,Physique 258,1478 (1964); Progress report: EANDC(E)-49  (1963)"
"20599002","20599.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","14.07","14.07","1"," ","J.Roturier","1968","Thesis or dissertation: Roturier  (1968); Thesis or dissertation: Buret  (1963); Thesis or dissertation: Pham-khac  (1963); Nuclear Structure Conf.,Antwerp 1965 506 (1965); Comptes Rendus,Serie B,Physique 260,4491 (1965); Comptes Rendus,Serie B,Physique 262,1736 (1966)"
"20599003","20599.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.07","14.07","26"," ","J.Roturier","1968","Thesis or dissertation: Roturier  (1968); Thesis or dissertation: Buret  (1963); Thesis or dissertation: Pham-khac  (1963); Nuclear Structure Conf.,Antwerp 1965 506 (1965); Comptes Rendus,Serie B,Physique 260,4491 (1965); Comptes Rendus,Serie B,Physique 262,1736 (1966)"
"20833003","20833.x4","Be-9","N,D","CS","Cross section for 9Be(n,d)8Li","16.42","18.8","18"," ","W.Scobel,M.Bormann","1970","Zeitschrift fuer Naturforschung,Section A 25,1406 (1970); Progress report: EANDC(E)-127 36 (1970)"
"20846002","20846.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.1","14.1","2"," ","S.Shirato,K.Shibata,M.Saito","1978","Progress report: NEANDC(J)-56 54 (1978); Progress report: INDC(JAP)-42 54 (1978)"
"20846003","20846.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.1","14.1","2"," ","S.Shirato,K.Shibata,M.Saito","1978","Progress report: NEANDC(J)-56 54 (1978); Progress report: INDC(JAP)-42 54 (1978)"
"20846004","20846.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.1","14.1","1"," ","S.Shirato,K.Shibata,M.Saito","1978","Progress report: NEANDC(J)-56 54 (1978); Progress report: INDC(JAP)-42 54 (1978)"
"20846005","20846.x4","Be-9","N,A","DA","Partial differential cross section d/dA for 9Be(n,alpha)6He","14.1","14.1","2"," ","S.Shirato,K.Shibata,M.Saito","1978","Progress report: NEANDC(J)-56 54 (1978); Progress report: INDC(JAP)-42 54 (1978)"
"20846006","20846.x4","Be-9","N,T","DA","Partial differential cross section d/dA for 9Be(n,t)7Li","14.1","14.1","2"," ","S.Shirato,K.Shibata,M.Saito","1978","Progress report: NEANDC(J)-56 54 (1978); Progress report: INDC(JAP)-42 54 (1978)"
"20846007","20846.x4","Be-9","N,T","DA","Partial differential cross section d/dA for 9Be(n,t)7Li","14.1","14.1","2"," ","S.Shirato,K.Shibata,M.Saito","1978","Progress report: NEANDC(J)-56 54 (1978); Progress report: INDC(JAP)-42 54 (1978)"
"20872002","20872.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","3.26","15.4","6"," ","M.Baba,T.Sakase,T.Nishitani,T.Yamada,T.Momota","1978","Int.Conf.on Neutr.Phys.and Nucl.Data,Harwell 1978 ,198 (1978); Private communication: Baba  (1979); Report other than progress report: NETU-27 17 (1979)"
