subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"O1520002","O1520.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1056","0.1056","1"," ","Gy.Gyuerky,F.Confortola,H.Costantini,A.Formicola,D.Bemmerer,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2007","Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006)"
"O1520002","O1520.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.1056","0.1056","1"," ","Gy.Gyuerky,F.Confortola,H.Costantini,A.Formicola,D.Bemmerer,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2007","Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006)"
"O1520002","O1520.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.1056","0.1056","1"," ","Gy.Gyuerky,F.Confortola,H.Costantini,A.Formicola,D.Bemmerer,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2007","Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006)"
"O1520002","O1520.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.1056","0.1056","1"," ","Gy.Gyuerky,F.Confortola,H.Costantini,A.Formicola,D.Bemmerer,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2007","Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006)"
"O1709002","O1709.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.09290000000000001","0.1695","6"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709002","O1709.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.09290000000000001","0.1695","6"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709002","O1709.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.09290000000000001","0.1695","6"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709002","O1709.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.09290000000000001","0.1695","6"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709003","O1709.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.0933","0.1701","3"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709003","O1709.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","0.0933","0.1701","3"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709003","O1709.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.0933","0.1701","3"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709003","O1709.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","0.0933","0.1701","3"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709004","O1709.x4","He-3","A,G","CS","Partial cross section for 3He(alpha,gamma)7Be","0.0933","0.1701","6"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O1709004","O1709.x4","He-3","A,G","CS","Partial cross section for 3He(alpha,gamma)7Be","0.0933","0.1701","6"," ","H.Costantini,D.Bemmerer,F.Confortola,A.Formicola,Gy.Gyuerky,P.Bezzon,R.Bonetti,C.Broggini,P.Corvisiero,Z.Elekes,Zs.Fuelop,G.Gervino,A.Guglielmetti,C.Gustavino,G.Imbriani,M.Junker,M.Laubenstein,A.Lemut,B.Limata,V.Lozza,M.Marta,R.Menegazzo,P.Prati,V.Roca,C.Rolfs,C.Rossi Alvarez,E.Somorjai,O.Straniero,F.Strieder,F.Terrasi,H.P.Trautvetter","2008","Nuclear Physics,Section A 814,144 (2008); Physical Review,Part C,Nuclear Physics 75,035805 (2007); Physical Review Letters 97,122502 (2006); Physical Review,Part C,Nuclear Physics 75,065803 (2007)"
"O2058002","O2058.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","1.054","2.8040000000000003","6"," ","M.Carmona-Gallardo,B.S.Nara Singh,M.J.G.Borge,J.A.Briz,M.Cubero,B.R.Fulton,H.Fynbo,N.Gordillo,M.Hass,G.Haquin,A.Maira,E.Nacher,Y.Nir-El,V.Kumar,J.Mcgrath,A.Munoz-Martin,A.Perea,V.Pesudo,G.Ribeiro,J.Sanchez Del Rio,O.Tengblad,R.Yaniv,Z.Yungreis","2012","Physical Review,Part C,Nuclear Physics 86,032801 (2012)"
"O2058002","O2058.x4","He-3","A,G","CS","Cross section for 3He(alpha,gamma)7Be","1.054","2.8040000000000003","6"," ","M.Carmona-Gallardo,B.S.Nara Singh,M.J.G.Borge,J.A.Briz,M.Cubero,B.R.Fulton,H.Fynbo,N.Gordillo,M.Hass,G.Haquin,A.Maira,E.Nacher,Y.Nir-El,V.Kumar,J.Mcgrath,A.Munoz-Martin,A.Perea,V.Pesudo,G.Ribeiro,J.Sanchez Del Rio,O.Tengblad,R.Yaniv,Z.Yungreis","2012","Physical Review,Part C,Nuclear Physics 86,032801 (2012)"
"O2058002","O2058.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","1.054","2.8040000000000003","6"," ","M.Carmona-Gallardo,B.S.Nara Singh,M.J.G.Borge,J.A.Briz,M.Cubero,B.R.Fulton,H.Fynbo,N.Gordillo,M.Hass,G.Haquin,A.Maira,E.Nacher,Y.Nir-El,V.Kumar,J.Mcgrath,A.Munoz-Martin,A.Perea,V.Pesudo,G.Ribeiro,J.Sanchez Del Rio,O.Tengblad,R.Yaniv,Z.Yungreis","2012","Physical Review,Part C,Nuclear Physics 86,032801 (2012)"
"O2058002","O2058.x4","He-3","A,G","CS","S-factor Cross section for 3He(alpha,gamma)7Be","1.054","2.8040000000000003","6"," ","M.Carmona-Gallardo,B.S.Nara Singh,M.J.G.Borge,J.A.Briz,M.Cubero,B.R.Fulton,H.Fynbo,N.Gordillo,M.Hass,G.Haquin,A.Maira,E.Nacher,Y.Nir-El,V.Kumar,J.Mcgrath,A.Munoz-Martin,A.Perea,V.Pesudo,G.Ribeiro,J.Sanchez Del Rio,O.Tengblad,R.Yaniv,Z.Yungreis","2012","Physical Review,Part C,Nuclear Physics 86,032801 (2012)"
"T0051002","T0051.x4","He-3","A,G","CS","Partial cross section for 3He(alpha,gamma)7Be","1.3","1.3","2"," ","T.K.Alexander,G.C.Ball,W.N.Lennard,H.Geissel,H.B.Mak","1984","Nuclear Physics,Section A 427,(3),526 (1984)"
"T0051002","T0051.x4","He-3","A,G","CS","Partial cross section for 3He(alpha,gamma)7Be","1.3","1.3","2"," ","T.K.Alexander,G.C.Ball,W.N.Lennard,H.Geissel,H.B.Mak","1984","Nuclear Physics,Section A 427,(3),526 (1984)"
